Ticker,Company Name,Sector,Market Cap (KES B),P/E Ratio,P/B Ratio,Dividend Yield (%),ROE (%),Cumulative Return,Normalized Return,Amihud_Ratio,Raw Valuation Score,Normalised Valuation Score,Valuation Flag Comprehensive,Score Breakdown
COMP01,"Rodriguez, Figueroa and Sanchez",Energy,78.82,9.06,3.7,4.99,26.05,-0.004285244174352054,-0.3804187557847537,2.2595889732657338e-08,1.5,0.2308,Moderately Undervalued,ROE/PB=1.5(1.5) | ROE/PE=0.0(3.5) | Simple=0.0(1.5) | Div=0.00(0.0) | Raw=1.50/6.5 | Norm=0.2308
COMP02,Doyle Ltd,Retail,37.26,23.86,4.14,5.72,9.86,-0.1267061718719471,-0.9310870000994235,8.004424305098174e-09,0.0,0.0,Overvalued,ROE/PB=0.0(1.5) | ROE/PE=0.0(2.0) | Simple=0.0(3.5) | Div=0.00(0.8) | Raw=0.00/7.8 | Norm=0.0000
COMP03,"Mcclain, Miller and Henderson",Telecom,151.32,16.98,2.07,7.69,15.28,0.16534967789723942,1.2999018003847378,1.0137987075963883e-10,0.0,0.0,Overvalued,ROE/PB=0.0(1.5) | ROE/PE=0.0(3.5) | Simple=0.0(2.0) | Div=0.00(1.0) | Raw=0.00/8.0 | Norm=0.0000
COMP04,Davis and Sons,Retail,85.61,18.9,0.93,0.44,22.49,0.09225697126848575,0.8958735361736169,8.436021588906124e-09,2.4,0.3077,Moderately Undervalued,ROE/PB=0.0(1.5) | ROE/PE=2.0(2.0) | Simple=0.0(3.5) | Div=0.40(0.8) | Raw=2.40/7.8 | Norm=0.3077
COMP05,"Guzman, Hoffman and Baldwin",Retail,42.38,22.61,4.73,9.95,8.46,-0.0267921935633334,-0.09743576193279842,8.284425788578027e-09,0.0,0.0,Overvalued,ROE/PB=0.0(1.5) | ROE/PE=0.0(2.0) | Simple=0.0(3.5) | Div=0.00(0.8) | Raw=0.00/7.8 | Norm=0.0000
COMP06,"Gardner, Robinson and Lawrence",Manufacturing,113.97,17.49,2.29,4.7,8.32,-0.06991123701352309,-0.6576338468447295,2.5872342958016776e-09,0.5,0.0625,Weakly Undervalued,ROE/PB=0.0(3.0) | ROE/PE=0.0(2.5) | Simple=0.0(2.0) | Div=0.50(0.5) | Raw=0.50/8.0 | Norm=0.0625
COMP07,Blake and Sons,Telecom,7.23,10.91,2.83,2.8,29.24,0.18196285211062757,1.468895605646668,8.097127916201291e-11,7.5,0.9375,Strongly Undervalued,ROE/PB=1.5(1.5) | ROE/PE=3.5(3.5) | Simple=2.0(2.0) | Div=0.50(1.0) | Raw=7.50/8.0 | Norm=0.9375
COMP08,"Henderson, Ramirez and Lewis",Telecom,168.61,7.11,4.27,8.83,22.86,-0.08360519145783318,-1.2325360209736709,1.273154167162158e-10,1.0,0.125,Moderately Undervalued,ROE/PB=0.0(1.5) | ROE/PE=0.0(3.5) | Simple=0.0(2.0) | Div=1.00(1.0) | Raw=1.00/8.0 | Norm=0.1250
COMP09,Garcia-James,Telecom,90.5,14.13,3.54,7.48,6.03,-0.0752670759967472,-1.14771840319737,2.960915943153859e-10,0.0,0.0,Overvalued,ROE/PB=0.0(1.5) | ROE/PE=0.0(3.5) | Simple=0.0(2.0) | Div=0.00(1.0) | Raw=0.00/8.0 | Norm=0.0000
COMP10,Abbott-Munoz,Retail,79.63,9.37,3.81,9.53,14.97,0.04796240083444614,0.5262933822101904,5.934359877148302e-09,0.0,0.0,Overvalued,ROE/PB=0.0(1.5) | ROE/PE=0.0(2.0) | Simple=0.0(3.5) | Div=0.00(0.8) | Raw=0.00/7.8 | Norm=0.0000
COMP11,Blair PLC,Energy,185.41,13.33,1.44,3.31,15.84,-0.055555154090358716,-0.6604630894190437,6.687589947577824e-09,0.0,0.0,Overvalued,ROE/PB=0.0(1.5) | ROE/PE=0.0(3.5) | Simple=0.0(1.5) | Div=0.00(0.0) | Raw=0.00/6.5 | Norm=0.0000
